item, latitude, longitude
IMG_0_4061.jpg, 27.59566025987678, -99.46658745202222
IMG_1_4061.jpg, 27.603218732708747, -99.46261336488101
IMG_2_4061.jpg, 27.60476288954708, -99.45835185627791
IMG_3_4061.jpg, 27.599161110541914, -99.45270691643643
IMG_4_4061.jpg, 27.601980105117335, -99.46446129918523
IMG_5_4061.jpg, 27.60275035491646, -99.45765625139829
IMG_6_4061.jpg, 27.599483544514253, -99.45043992006175
IMG_7_4061.jpg, 27.600691891414844, -99.45630816252857
IMG_8_4061.jpg, 27.599508494048397, -99.45069550312729
IMG_9_4061.jpg, 27.59443317487328, -99.46597629245173
IMG_10_4061.jpg, 27.600269698219883, -99.46780307123116
IMG_11_4061.jpg, 27.596275049051396, -99.46724967928638
IMG_12_4061.jpg, 27.602356859571714, -99.45158647709093
IMG_13_4061.jpg, 27.60355146788021, -99.45786467528832
IMG_14_4061.jpg, 27.60242366903476, -99.4570457988028
