item, latitude, longitude
IMG_0_982.jpg, 39.043796740705424, -94.56943127720024
IMG_1_982.jpg, 39.04628829653348, -94.5710939572244
IMG_2_982.jpg, 39.04513027577489, -94.56458869393099
IMG_3_982.jpg, 39.04621623175342, -94.57000977346023
IMG_4_982.jpg, 39.042609155837816, -94.55690204968909
IMG_5_982.jpg, 39.04548405001655, -94.5594800691358
IMG_6_982.jpg, 39.046126443513195, -94.55412127843424
IMG_7_982.jpg, 39.04284990946838, -94.56609638795051
IMG_8_982.jpg, 39.043152280990014, -94.56546890369762
IMG_9_982.jpg, 39.04276589903518, -94.55597430833608
IMG_10_982.jpg, 39.04809124115341, -94.57018301373544
IMG_11_982.jpg, 39.04362989432241, -94.56400723008734
IMG_12_982.jpg, 39.04431359719915, -94.57198298566328
IMG_13_982.jpg, 39.04349960949591, -94.56225678483179
IMG_14_982.jpg, 39.04232014662661, -94.57046426981181
