item, latitude, longitude
IMG_0_329.jpg, 36.12239449226433, -115.26756440061905
IMG_1_329.jpg, 36.12756004882571, -115.26322606823935
IMG_2_329.jpg, 36.12566918089159, -115.26257396196645
IMG_3_329.jpg, 36.127355490840515, -115.26858788937287
IMG_4_329.jpg, 36.12593443443364, -115.27114930077816
IMG_5_329.jpg, 36.12841017770751, -115.2787432370286
IMG_6_329.jpg, 36.12847206871971, -115.26711601063846
IMG_7_329.jpg, 36.12619262947045, -115.27619975504038
IMG_8_329.jpg, 36.127310440871696, -115.26911626361566
IMG_9_329.jpg, 36.1252832881126, -115.26448448267044
IMG_10_329.jpg, 36.125362316190895, -115.26931623519035
IMG_11_329.jpg, 36.125396822479146, -115.2693350796256
IMG_12_329.jpg, 36.12212950506512, -115.26186311232946
IMG_13_329.jpg, 36.12810511467539, -115.26183208361783
IMG_14_329.jpg, 36.12320017297826, -115.26727652406382
