item, latitude, longitude
IMG_0_1325.jpg, 39.7703219234128, -104.90341172776218
IMG_1_1325.jpg, 39.778154889208615, -104.90224008810591
IMG_2_1325.jpg, 39.77721432251326, -104.88920495306866
IMG_3_1325.jpg, 39.765009990008025, -104.89521927831609
IMG_4_1325.jpg, 39.772844755062245, -104.89492884966549
IMG_5_1325.jpg, 39.76624860851598, -104.90284941012945
IMG_6_1325.jpg, 39.771577434259804, -104.89057197769706
IMG_7_1325.jpg, 39.77303264432321, -104.88346863255728
IMG_8_1325.jpg, 39.76852617740647, -104.89113951033845
IMG_9_1325.jpg, 39.767587066399294, -104.8959545035084
IMG_10_1325.jpg, 39.76055486277233, -104.90011803687834
IMG_11_1325.jpg, 39.76799492871118, -104.89450633290805
IMG_12_1325.jpg, 39.764048041098384, -104.90228794948708
IMG_13_1325.jpg, 39.76681269402083, -104.89675228750232
IMG_14_1325.jpg, 39.76274354105714, -104.89063450657741
