item, latitude, longitude
IMG_0_5080.jpg, 26.119484031997168, -80.16916165238459
IMG_1_5080.jpg, 26.118366855452795, -80.16481534153102
IMG_2_5080.jpg, 26.103234337989072, -80.16803567636165
IMG_3_5080.jpg, 26.10167982048227, -80.16723487638554
IMG_4_5080.jpg, 26.105192361863278, -80.1675811695169
IMG_5_5080.jpg, 26.09901425435451, -80.16708967872583
IMG_6_5080.jpg, 26.10107846970213, -80.16491530409021
IMG_7_5080.jpg, 26.120424083168782, -80.16504463946295
IMG_8_5080.jpg, 26.106889039313423, -80.1634736403442
IMG_9_5080.jpg, 26.102988745644982, -80.16085387323848
IMG_10_5080.jpg, 26.110484667707205, -80.16796869939002
IMG_11_5080.jpg, 26.10715648902145, -80.16397899494605
IMG_12_5080.jpg, 26.104440711134583, -80.16154861861943
IMG_13_5080.jpg, 26.107098023632517, -80.16776988243954
IMG_14_5080.jpg, 26.11145039118269, -80.15841376467422
