item, latitude, longitude
IMG_0_1937.jpg, 40.63570781464235, -74.41284362760467
IMG_1_1937.jpg, 40.63159920777041, -74.40879277219611
IMG_2_1937.jpg, 40.6222368061065, -74.42056022175301
IMG_3_1937.jpg, 40.628658192461714, -74.41309465209736
IMG_4_1937.jpg, 40.62709111874198, -74.41642937691873
IMG_5_1937.jpg, 40.62733416495793, -74.41089862504242
IMG_6_1937.jpg, 40.632050969610184, -74.40623725108159
IMG_7_1937.jpg, 40.625962676728655, -74.41061312764228
IMG_8_1937.jpg, 40.62975443332573, -74.41384968458613
IMG_9_1937.jpg, 40.63101643730277, -74.41393948835477
IMG_10_1937.jpg, 40.63593574643006, -74.41329907715583
IMG_11_1937.jpg, 40.63301794928741, -74.40816667361435
IMG_12_1937.jpg, 40.63123270662553, -74.40811262411516
IMG_13_1937.jpg, 40.63143268531818, -74.40786239433056
IMG_14_1937.jpg, 40.6232929455231, -74.42019257175996
