item, latitude, longitude
IMG_0_8990.jpg, 35.59374365545088, -119.33763290407583
IMG_1_8990.jpg, 35.60149806105236, -119.33764728880323
IMG_2_8990.jpg, 35.593544379936205, -119.3322897355185
IMG_3_8990.jpg, 35.58950306891188, -119.33724158575819
IMG_4_8990.jpg, 35.60090308822473, -119.3364699030656
IMG_5_8990.jpg, 35.5897520287208, -119.33228723690415
IMG_6_8990.jpg, 35.58966218048294, -119.33236073792732
IMG_7_8990.jpg, 35.58062704144468, -119.33227822476299
IMG_8_8990.jpg, 35.582456802641744, -119.33728260931223
IMG_9_8990.jpg, 35.59510413236431, -119.33317276807034
IMG_10_8990.jpg, 35.58881109298992, -119.3314206212446
IMG_11_8990.jpg, 35.588803732111195, -119.33813209244549
IMG_12_8990.jpg, 35.5868435228924, -119.33780664288167
IMG_13_8990.jpg, 35.59225761951243, -119.33500389223124
IMG_14_8990.jpg, 35.580976084500755, -119.33610501885668
